class,knowledge_questions
knife,"[""What are the superclasses of knife in a surgical ontology?"", ""What materials are commonly used to make a knife in a surgical context?"", ""Which types of surgical procedures or techniques involve the use of a knife?"", ""What specific structures or tissues are typically cut using a knife during surgery?"", ""What safety features or precautions are associated with the use of a knife in surgery?"", ""How is the functionality of a knife in surgical procedures described ontologically?"", ""What post-operative care or considerations are related to the use of a knife?"", ""What ontological relationships exist between a knife and other surgical instruments or tools?""]"
lamellar bone,"[""What hierarchical classification does the lamellar bone fall under in the skeletal system?"", ""How is the lamellar bone composed at the tissue level?"", ""What mechanical properties define the structure of lamellar bone?"", ""What cell types are responsible for the synthesis and maintenance of lamellar bone?"", ""Which metabolic activities are associated with the remodeling and repair of lamellar bone?"", ""What are the spatial relationships that govern the arrangement of lamellar bone within the skeletal system?"", ""What biomechanical forces shape the formation and orientation of lamellar bone structures?"", ""What histological features distinguish lamellar bone from other bone types?""]"
large,"[""What are the superclasses of a large in a body mass index ontology?"", ""Which categories differentiate a person as being large?"", ""What bodily systems contribute to a person being categorized as large?"", ""What impact does being large have on various metabolic functions?"", ""What are the physiological characteristics of a person who falls under the category of large?"", ""What are the typical body mass index values associated with a person being large?"", ""What logical statements describe the effects of being large on health conditions?"", ""How do hormones interact with body mass in individuals categorized as large?"", ""What relationship exists between large stature and overall physical strength?""]"
late precursors,"[""What cellular components are late precursors to fully developed blood cells?"", ""In which stage of hematopoiesis do late precursors emerge?"", ""What biological processes do late precursors undergo to form mature blood cells?"", ""Through what cell divisions or differentiation pathways do late precursors arise?"", ""What specific lineage does each late precursor commit to during cell development?""]"
lateral view,"[""What are the superclasses of lateral view in an anatomical hierarchy?"", ""In which anatomical context is the term lateral view typically used?""]"
layers,"[""What are the superclasses of layers in a ontological hierarchy related to the human eye?"", ""What anatomical structure(s) include the layers?"", ""What types of cells or tissues constitute the layers?"", ""What role do the layers play in vision or light processing?"", ""What physical properties or characteristics define the layers?"", ""What functional relationships exist between the layers and other eye structures?"", ""What data properties describe the layers, such as their number or order?"", ""How are the layers integrated into the visual pathway?"", ""What logical definitions or axioms capture the layers' role in optical transmission or image perception?""]"
left anterior descending artery,"[""What are the superclasses of left anterior descending artery in an anatomical hierarchy?"", ""Which organ systems include the left anterior descending artery?"", ""What types of cells constitute the left anterior descending artery?"", ""What biological functions does the left anterior descending artery perform?"", ""What structural features characterize the left anterior descending artery\u2019s location in the body?"", ""Which relationships define the left anterior descending artery\u2019s interaction with other arteries or vessels?"", ""What data properties describe the left anterior descending artery, such as its diameter or length?"", ""What axioms define the left anterior descending artery\u2019s role in circulation?""]"
left hilar mass tumor,"[""What is the classification of left hilar mass tumor in terms of its origin?"", ""Which anatomical structures can be affected by the presence of a left hilar mass tumor?"", ""What imaging techniques or diagnostic tests are used for studying left hilar mass tumors?"", ""How does the presence of a left hilar mass tumor impact pulmonary function?"", ""What are the common genetic or molecular abnormalities found in left hilar mass tumors?"", ""What treatment options are typically considered for patients with left hilar mass tumors?"", ""How does the location of a left hilar mass tumor influence the clinical management plan?"", ""What other organs or systems may be at risk due to the presence of a left hilar mass tumor?""]"
left ventricle,"[""What anatomical structures are superclasses of the left ventricle?"", ""How is the left ventricle involved in the circulatory system?"", ""What are the cardiac muscle fibers that make up the left ventricle?"", ""What is the function of the left ventricle in pumping oxygenated blood?"", ""Describe the structural organization of the left ventricle's myocardial layers?"", ""What value does the left ventricle contribute to cardiac output?"", ""How does the left ventricle interact with other heart chambers or vessels?""]"
left ventricle hypertrophy,"[""What anatomical superclass(es) does Left ventricle hypertrophy belong to?"", ""What other cardiovascular classes are related to Left ventricle hypertrophy?"", ""Which cell types are primarily associated with Left ventricle hypertrophy?"", ""What cellular processes or functions are characteristic of Left ventricle hypertrophy?"", ""What are the typical structural manifestations of Left ventricle hypertrophy?"", ""What types of biological molecules (e.g., hormones, drugs) affect Left ventricle hypertrophy?"", ""What specific organ interactions occur with Left ventricle hypertrophy in the cardiovascular system?"", ""What quantitative or measurable properties describe Left ventricle hypertrophy (e.g., wall thickness)?"", ""What logical or axiomatic statements define the relationship between Left ventricle hypertrophy and cardiac output?""]"
leiomyoma,"[""What are the superclasses of leiomyoma in an anatomical hierarchy?"", ""What types of cells constitute leiomyoma?"", ""What biological functions does leiomyoma perform?"", ""What structural features characterize leiomyoma?"", ""Which enzymes or metabolic pathways are typically associated with leiomyoma?"", ""What organ interactions occur with leiomyoma?"", ""What data properties describe leiomyoma?"", ""What axioms define leiomyoma\u2019s role in the body?""]"
leiomyosarcoma,"[""What are the superclasses or subclasses of Leiomyosarcoma in the hierarchy of malignant tumors?"", ""How does Leiomyosarcoma originate from smooth muscle cells?"", ""What histological features differentiate Leiomyosarcoma from other types of sarcomas?"", ""What are the cellular mutations or genetic alterations associated with Leiomyosarcoma development?"", ""What is the standard treatment regimen for Leiomyosarcoma, considering its chemosensitivity and radiosensitivity?"", ""What is the most common site of origin for Leiomyosarcoma, such as the gastrointestinal tract or retroperitoneum?"", ""What are the criteria for grading or staging Leiomyosarcoma, including the role of tumor size, mitotic index, and metastasis?"", ""What is the overall prognosis or survival rate for patients diagnosed with Leiomyosarcoma, considering factors such as tumor grade, patient age, and treatment options?""]"
lesions,"[""What superclasses of lesions exist within a dermatological classification system?"", ""What differentiates pre-malignant from malignant lesions in oncology?"", ""How are lesions categorized based on their etiology or causes?"", ""What criteria are used to diagnose and classify infectious lesions?"", ""What characteristics distinguish between acute and chronic lesions in pathology?"", ""What are the possible treatment approaches for various types of lesions?""]"
leucocytes,"[""What are the subclasses of leucocytes within the hierarchy of blood cell types?"", ""Which cellular components or organelles are characteristic of leucocytes?"", ""What physiological functions or roles are performed by leucocytes in the immune response?"", ""How are leucocytes involved in inflammatory processes or tissue repair?"", ""What receptor-mediated signaling pathways are important for leucocyte migration or activation?"", ""What distinguishes the structural features of different types of leucocytes?"", ""Which cytokines or chemokines are secreted by leucocytes during an immune response?"", ""What are the primary sites of origin or maturation for leucocytes?"", ""What regulatory mechanisms control the proliferation or differentiation of leucocytes?""]"
leukoplakia,"[""What are the superclasses of Leukoplakia in a pathological hierarchy?"", ""Which anatomical locations commonly exhibit leukoplakia?""]"
level,"[""What hierarchical levels are comprised within the level class?"", ""Which lower-level components are aggregated to form an instance of the level class?"", ""What is the role of the level class in a larger system or framework?"", ""How is the level class situated within a broader classification scheme?"", ""What collective attributes define the level class and distinguish it from others?"", ""What specific types or subtypes can be identified within the level class?"", ""Which properties or characteristics are inherent to the level class?"", ""What relationships exist between the level class and its complementary classes?""]"
lewy body,"[""What are the superclasses of Lewy body in a pathological hierarchy?"", ""What types of biomolecules or structures do Lewy bodies comprise?"", ""Which neurological disorders or diseases are associated with the presence of Lewy bodies?"", ""What cellular functions are affected by the accumulation of Lewy bodies?"", ""What specific proteins or abnormal aggregates characterize Lewy bodies?"", ""How do Lewy bodies disrupt neuronal communication or signaling pathways?"", ""What data properties describe the appearance or distribution of Lewy bodies in tissue samples?"", ""What axioms or logical definitions distinguish Lewy bodies from other pathological inclusions?""]"
life,"[""What superclasses define life in a broad biological sense?"", ""What are the fundamental processes or functions that characterize life?"", ""What types of entities can possess life?"", ""What are the basic requirements or conditions for sustaining life?"", ""How does life relate to other concepts such as living organisms or biology?"", ""What features or properties distinguish living things from non-living objects in a biological context?"", ""What logical or axiomatic definitions underpin the concept of life in biology?""]"
lip,"[""What are the superclasses of Lip in an anatomical context?"", ""What is the function of the Lip in relation to other organs?"", ""Which anatomical structure is the Lip a part of?"", ""What types of tissues are found in the Lip?"", ""How is the Lip innervated for sensory perception?"", ""What is the relationship between the Lip and the oral cavity?"", ""What role does the Lip play in facial expression?"", ""What data properties can be used to describe the Lip?""]"
lipid,"[""What are the superclasses of lipid in a chemical ontology?"", ""What types of molecules or compounds can be classified as lipids?"", ""Which biological functions does lipid perform, such as energy storage or structural roles?"", ""What structural features characterize the lipid molecule\u2019s hydrophobic and hydrophilic ends?"", ""Which metabolic pathways involve the synthesis or breakdown of lipids?"", ""What organ interactions occur with lipids in terms of absorption or transport?"", ""What data properties describe the lipid, such as its melting point or saturation degree?"", ""What axioms define the lipid\u2019s role in cell membrane fluidity?"", ""How is lipid integrated into the overall cellular structure and function?""]"
lipoblasts,"[""What are the superclasses of lipoblasts in a cellular ontology?"", ""Which biological process do lipoblasts primarily participate in?"", ""What types of cells are derived from lipoblasts during development?"", ""What specific cellular components or structures are characteristic of lipoblasts?"", ""What functions or activities do lipoblasts perform in adipose tissue?"", ""What data properties describe the lipoblasts, such as their morphology or expression levels?"", ""What axioms or logical definitions capture the role of lipoblasts in lipid metabolism?"", ""How are lipoblasts related to other cell types within the adipose tissue?"", ""What external factors influence the differentiation of lipoblasts into mature adipocytes?""]"
lipofuscin,"[""What are the superclasses of Lipofuscin in the ontology of cellular components?"", ""In which subcellular structures is Lipofuscin typically found?"", ""How does Lipofuscin accumulate in cells over time?"", ""What is the relationship between Lipofuscin and age-related cellular changes?"", ""Which types of molecules or waste products does Lipofuscin consist of?"", ""What are the functional implications of Lipofuscin accumulation in cells?"", ""How does Lipofuscin affect cellular function or homeostasis?"", ""What axioms or principles explain the role of Lipofuscin in cellular aging?""]"
lipoma,"[""What are the superclasses of lipoma in a pathological ontology?"", ""What types of tissues or cells constitute a lipoma?"", ""Which body systems or organs are commonly affected by lipomas?"", ""What role does a lipoma play in lipid metabolism?"", ""What structural features characterize the architecture of a lipoma?"", ""Which molecular pathways or signaling processes are involved in lipoma formation?"", ""What organ interactions occur with lipomas in the context of soft tissue masses?"", ""What data properties describe a lipoma, such as its size or growth rate?"", ""What axioms define the role of lipoma within the domain of tumor biology?""]"
liquefactive,"[""What are the superclasses of liquefactive in a chemical ontology?"", ""What is the molecular structure of liquefactive?"", ""Which chemical reactions or pathways involve liquefactive?"", ""What role does liquefactive play in various applications or industries?"", ""What physical, chemical, or biological properties are associated with liquefactive?"", ""What safety considerations or precautions should be taken when handling liquefactive?"", ""How does liquefactive interact with other substances or compounds?"", ""What data properties describe liquefactive, such as boiling point or solubility?"", ""What axioms or logical definitions capture the nature and behavior of liquefactive?""]"
liver,"[""What are the superclasses of Liver in an anatomical hierarchy?"", ""Which organ systems include the Liver?"", ""What types of cells constitute the Liver?"", ""What biological functions does the Liver perform, such as detoxification?"", ""What structural features characterize the Liver\u2019s lobular architecture?"", ""Which enzymes or metabolic pathways are typically associated with the Liver?"", ""What organ interactions occur with the Liver in the digestive system?"", ""What data properties describe the Liver, for example, its size and weight?"", ""What axioms define the Liver\u2019s role in metabolism?""]"
liver cells,"[""What are the direct subclasses of liver cells?"", ""What are the superclasses of liver cells in a cell ontology?"", ""Which cell types are related to liver cells?"", ""How is the structure of liver cells organized?"", ""What are the functions or processes carried out by liver cells?"", ""Which cellular components or organelles are characteristic of liver cells?"", ""What are the specific molecule types or substances produced by liver cells?""]"
lobule,"[""What are the superclasses of lobule in an anatomical hierarchy?"", ""Which organs include lobules as a structural component?"", ""How is a lobule defined in terms of its spatial or topological properties?"", ""What other anatomical structures or landmarks are related to the lobule?"", ""Can you define the lobule conceptually in terms of its function or purpose?"", ""What relationships or associations exist between lobules and other biological entities?""]"
lobules,"[""What are the superclasses of lobules in a hepatic ontology?"", ""How are hepatic lobules related to other structures within the liver?"", ""What cells are involved in the formation of lobules?"", ""What biological processes occur in or are associated with lobules?"", ""Can you describe the arrangement or organization of cells within a lobule?"", ""Are there specific proteins or enzymes that characterize lobules?"", ""How do lobules interact or communicate with other parts of the liver?"", ""What properties or attributes are commonly used to identify or quantify lobules?"", ""Are there any specific rules or logical statements that govern the function or behavior of lobules?""]"
longitudinal cut section,"[""What are the superclasses of longitudinal cut section in an anatomical hierarchy?"", ""Which anatomical structures are revealed when viewing a longitudinal cut section?"", ""What types of tissues can be observed within a longitudinal cut section?"", ""What biological functions are associated with the structures visible in a longitudinal cut section?"", ""What spatial relationships exist among the different elements seen within a longitudinal cut section?"", ""Which anatomical planes or landmarks are relevant for interpreting a longitudinal cut section?"", ""What data properties describe the dimensions or measurements of a longitudinal cut section?"", ""What axioms define the spatial orientation or directional terms used to describe a longitudinal cut section?""]"
loops,"[""What are the superclasses of loops in algorithmic complexity theory?"", ""What types of computations or operations do loops perform?"", ""What data structures are commonly used within loops?"", ""What logical statements or conditional expressions control the termination of loops?"", ""What variable or index increments or decrements in a loop?"", ""What properties should be considered when analyzing the time complexity of a loop?"", ""How are loops implemented in different programming languages?"", ""What common programming constructs or control structures utilize loops?"", ""What potential issues or errors should be avoided in loop implementation?""]"
loose matrix,"[""What are the superclasses of loose matrix in histopathological analysis?"", ""Which tissue types or diseases associate with a loose matrix?"", ""What cellular components contribute to the structure of a loose matrix?"", ""What functional properties characterize a loose matrix in tumors or tissues?"", ""How does a loose matrix affect cell growth or migration patterns?"", ""What data properties describe the density or composition of a loose matrix?"", ""What logical relationships link a loose matrix to observed histopathological features?"", ""How does a loose matrix interact with other matrices in tissue architecture?"", ""What are the subclassifications of a loose matrix in different pathological conditions?""]"
loss,"[""What are the superclasses of Loss in a broader financial hierarchy?"", ""How is Loss quantified or measured in financial accounting?"", ""What types of transactions or events can lead to Loss?"", ""What financial statements or reports typically include Loss?"", ""What impact does Loss have on a company's profitability or net income?"", ""What accounting principles or standards guide the recognition and reporting of Loss?"", ""How does Loss affect a firm\u2019s financial position or balance sheet?"", ""Can you provide examples of industries or sectors where Loss is more prevalent?""]"
low,"[""What are the superclasses of low in an ontological hierarchy?"", ""What categories or types fall under the class of low?"", ""What relationships exist between the class low and other related classes?"", ""What attributes or properties characterize the class low?"", ""What functions or roles are associated with the class low?"", ""What is the scope or extent of the class low in the domain?"", ""How does the class low relate to other classes within the same domain?"", ""Are there any subclasses that inherit from the class low?""]"
lumen,"[""What structures or spaces within the gastrointestinal tract are considered part of the lumen\u2019s anatomy?"", ""What are the functional roles of the lumen in digestion and nutrient absorption?"", ""How does the lumen interface with epithelial cells in the gastrointestinal tract?""]"
lumina,"[""What are the superclasses of lumina in a light ontology?"", ""What properties characterize the lumina\u2019s spectrum?"", ""Which optical systems incorporate the lumina?"", ""What role does the lumina play in illumination?"", ""What physical attributes describe the lumina, such as intensity or wavelength?"", ""What axioms or logical definitions capture the lumina\u2019s behavior in different media?"", ""How is the lumina affected by the presence of obstacles?"", ""Which relationships define the lumina\u2019s interaction with reflective surfaces?""]"
lumina macrophages,"[""What is the role of lumina macrophages in the immune response?"", ""How do lumina macrophages differentiate from other macrophage subsets?"", ""Which surface markers are specific to lumina macrophages?"", ""What are the key functions of lumina macrophages in tissue repair?"", ""How do lumina macrophages regulate inflammation?"", ""What cytokines or signaling molecules are produced by lumina macrophages?"", ""In which tissues or organs are lumina macrophages commonly found?"", ""What is the relationship between lumina macrophages and other immune cell types?"", ""Do lumina macrophages play a role in pathogen defense, and if so, how?""]"
lung,"[""What are the superclasses of Lung in an anatomical hierarchy?"", ""Which organ systems include the Lung?"", ""What types of cells constitute the Lung?"", ""What biological functions does the Lung perform, such as respiration?"", ""What structural features characterize the Lung\u2019s bronchial tree architecture?"", ""Which gases or substances are exchanged in the Lung during respiration?"", ""What organ interactions occur with the Lung in the respiratory system?"", ""What data properties describe the Lung, for example, its capacity or compliance?"", ""What relationships define the Lung\u2019s ventilation and perfusion?""]"
lung abscess,"[""What are direct subclasses of Lung abscess?"", ""Which pathophysiological process is Lung abscess typically part of?"", ""What kind of tissue or structure is affected by Lung abscess?"", ""What clinical presentations or symptoms are associated with Lung abscess?"", ""How does Lung abscess interact with the respiratory system?"", ""What imaging or diagnostic techniques are used to identify Lung abscess?"", ""What treatment strategies are commonly employed for Lung abscess?"", ""Is Lung abscess considered a complication of other diseases or conditions?""]"
lung carcinoma,"[""What are the superclasses of Antibiotics in a pharmacological classification hierarchy?"", ""What are the main mechanisms of action for Antibiotics?"", ""How do Antibiotics differ in terms of spectrum of activity?"", ""What chemical properties or structures define different classes of Antibiotics?"", ""What are the common adverse effects or side effects associated with Antibiotics?"", ""What drug interactions should be considered when prescribing Antibiotics?""]"
lung fibrosis,"[""What pathological classifications or categories pertain to lung fibrosis within an ontology of diseases?"", ""Which etiological agents or factors contribute to the pathogenesis of lung fibrosis?"", ""What physiological mechanisms are disrupted or impaired in lung fibrosis?"", ""What symptomatic manifestations or clinical features are characteristic of lung fibrosis?"", ""What radiological signs or imaging patterns are indicative of lung fibrosis?"", ""What histopathological alterations or microscopic characteristics define lung fibrosis?"", ""What molecular pathways or cellular processes are involved in the development of lung fibrosis?"", ""How does lung fibrosis impact or affect pulmonary function tests?"", ""What data properties describe the severity or progression of lung fibrosis?"", ""What therapeutic interventions or treatment modalities are associated with managing lung fibrosis?""]"
lung parenchyma,"[""What is the relationship between the lung parenchyma and the respiratory system?"", ""How is the lung parenchyma structured anatomically?"", ""What are the primary functions of the lung parenchyma?"", ""What types of cells are present in the lung parenchyma?"", ""What is the role of the lung parenchyma in gas exchange?"", ""How does the lung parenchyma interact with other structures in the respiratory system?""]"
lungs,"[""What are the superclasses of Lungs in a respiratory ontology?"", ""What structures make up the anatomy of the Lungs?"", ""Which respiratory system components interact with the Lungs?"", ""What gas exchange processes occur in the Lungs?"", ""How does the Lungs' ventilation mechanism work?"", ""What pulmonary functions are attributed to the Lungs?"", ""What data properties describe the Lungs, such as their capacity or compliance?"", ""What axioms define the Lungs\u2019 role in oxygenation?"", ""How are the Lungs connected within the bronchial tree?""]"
lupus erythematosus,"[""What are the symptoms of lupus erythematosus?"", ""What are the risk factors for lupus erythematosus?"", ""What are the diagnostic criteria for lupus erythematosus?"", ""How is lupus erythematosus classified in the International Classification of Diseases (ICD)?""]"
lymph node,"[""What are the superclasses of lymph node in an anatomical hierarchy?"", ""Which organ systems include the lymph node?"", ""What types of cells constitute the lymph node?"", ""What biological functions does the lymph node perform?"", ""What structural features characterize the lymph node\u2019s architecture?"", ""Which molecules or cellular pathways are associated with the lymph node\u2019s immune response?"", ""What organ interactions occur with the lymph node in the immune system?"", ""What data properties describe the lymph node, such as its size or number?"", ""What axioms define the lymph node\u2019s role in immunity?""]"
lymph nodes,"[""What is the function of lymph nodes in the body?"", ""How are lymph nodes connected within the lymphatic system?"", ""What type of tissue are lymph nodes composed of?"", ""What role do lymph nodes play in immune response and filtering?"", ""How do lymph nodes relate to other parts of the lymphatic system?""]"
lymphangiomatosis,"[""What are the superclasses of lymphangiomatosis in a disease ontology?"", ""Which pathophysiological features characterize lymphangiomatosis?"", ""What systemic effects does lymphangiomatosis have on the body?"", ""How does lymphangiomatosis manifest in different anatomical regions?"", ""What types of cells or tissues are primarily affected by lymphangiomatosis?"", ""What are the common symptoms or manifestations of lymphangiomatosis?"", ""What diagnostic methods are used to identify lymphangiomatosis?"", ""What treatment strategies or interventions are effective for lymphangiomatosis?"", ""What are the potential complications or risks associated with lymphangiomatosis?"", ""How does lymphangiomatosis relate to other diseases or disorders in a comorbidity network?"", ""What genetic or molecular abnormalities underlie lymphangiomatosis?"", ""What environmental factors or exposures have been implicated in the development of lymphangiomatosis?"", ""What are the known prognostic factors or indicators for the progression or outcome of lymphangiomatosis?"", ""What research gaps remain in understanding the mechanisms or management of lymphangiomatosis?""]"
lymphoblastic lymphoma,"[""What are the superclasses of Lymphoblastic Lymphoma in an oncological hierarchy?"", ""What types of malignant transformations lead to Lymphoblastic Lymphoma?"", ""Which genetic or chromosomal abnormalities characterize Lymphoblastic Lymphoma?"", ""What is the relationship between Lymphoblastic Lymphoma and the immune system?"", ""What are the staging criteria for Lymphoblastic Lymphoma?"", ""What treatment modalities are commonly used for Lymphoblastic Lymphoma?"", ""What data properties describe the prognosis of Lymphoblastic Lymphoma, including survival rates?"", ""What axioms define the aggressive nature of Lymphoblastic Lymphoma?""]"
lymphocytes,"[""What types of white blood cells are considered lymphocytes?"", ""How do lymphocytes function in adaptive immunity?"", ""What cell surface receptors are expressed on lymphocytes?"", ""What role do lymphocytes play in humoral and cellular immunity?"", ""How are lymphocytes generated in the bone marrow and matured in the thymus gland?"", ""What are the major subclasses of lymphocytes and their respective functions?"", ""How do lymphocytes assist in the process of antibody production?"", ""What is the lifespan of lymphocytes and how do they proliferate?"", ""What are the distinct surface molecules that characterize different types of lymphocytes?""]"
lymphoid follicle,"[""What are the superclasses of lymphoid follicle in an anatomical hierarchy of the immune system?"", ""Which cell types within the lymphoid follicle constitute its functional units?"", ""What biological functions does the lymphoid follicle carry out, such as antibody production?"", ""What are the key structural features characterizing the lymphoid follicle\u2019s organization?"", ""Which signaling molecules or pathways are typically associated with the lymphoid follicle?"", ""What organ interactions occur with the lymphoid follicle in the immune system?"", ""What data properties describe the lymphoid follicle, such as its size or cell density?"", ""What axioms define the lymphoid follicle\u2019s role in humoral immunity?""]"
lymphoma,"[""What is the classification of lymphoma in the context of cancer?"", ""What cells or tissues are primarily affected by lymphoma?"", ""How does lymphoma originate and spread within the body?"", ""What markers or characteristics are commonly observed in lymphoma cells?"", ""What therapeutic options are available for treating lymphoma?""]"
lymphoma cells,"[""What are the classification criteria for lymphoma cells within the broader category of cancer cells?"", ""Which cell markers or surface proteins are characteristic of lymphoma cells?"", ""How do lymphoma cells originate and differentiate from normal lymphocytes?"", ""What are the hallmark genetic or chromosomal abnormalities associated with lymphoma cells?"", ""What signaling pathways or molecular mechanisms drive the proliferation of lymphoma cells?"", ""What is the relationship between lymphoma cells and the immune system?"", ""What characteristics distinguish benign lymphoid cells from malignant lymphoma cells?"", ""What therapeutic targets are commonly exploited when treating lymphoma cells compared to other cancer cells?""]"
macrophages,"[""Which ontological subclass relationships exist between macrophages and other immune cells?"", ""What roles do macrophages play in the immune response during an infection or inflammation?"", ""How are macrophages differentiated from other white blood cells, such as lymphocytes or neutrophils?"", ""What ontological properties describe the functions of macrophages in phagocytosis and antigen presentation?"", ""Can you define the relationship between macrophages and other components of the mononuclear phagocyte system?""]"
macular,"[""What are the superclasses of macular in an anatomical hierarchy?"", ""Which part of the body does the macular belong to?"", ""What types of cells constitute the macular?"", ""What biological functions does the macular perform?"", ""What structural features characterize the macular?"", ""Which anatomical structures are associated with the macular?"", ""What data properties describe the macular?""]"
macular areas,"[""What are the superclasses of macular areas in the visual system ontology?"", ""How are macular areas spatially related to other retinal structures?"", ""Which visual functions are associated with macular areas in terms of acuity and color vision?"", ""What types of photoreceptor cells are predominantly found in the macular areas?"", ""What axioms define the spatial distribution of macular areas within the retina?"", ""How do the macular areas contribute to the overall visual processing of the eye?"", ""What data properties describe the macular areas, such as their size or density of photoreceptors?"", ""Which diseases or disorders specifically target or affect the macular areas?""]"
magnum left side,"[""What anatomical structures make up the magnum left side?"", ""What functions are associated with the magnum left side?"", ""How does the magnum left side relate to other anatomical regions?"", ""What are the developmental processes that shape the magnum left side?"", ""What innervation or vascularization is characteristic of the magnum left side?"", ""What variations or anomalies can occur in the magnum left side?"", ""What clinical significance or pathologies are related to the magnum left side?"", ""How does the magnum left side change across different stages of life?"", ""What imaging or diagnostic techniques are used to evaluate the magnum left side?""]"
male,"[""Which biological sex does the term'male' refer to in human physiology?"", ""What are the characteristics of male reproductive organs or genitalia?"", ""How does the presence of certain chromosomes affect the development of male traits?"", ""What hormone or hormonal system predominantly influences male secondary sex characteristics?"", ""What physical attributes differentiate males from females?"", ""What are the common genetic disorders associated with male sex chromosomes?"", ""What ontological relationship exists between the concept of male and gender identity?""]"
malignancy,"[""What are the subclass(es) of 'Malignancy'?"", ""What is the superclass(es) of 'Malignancy'?"", ""How does 'Malignancy' relate to other diseases or health conditions?"", ""What are the defining characteristics or properties of 'Malignancy'?"", ""Can 'Malignancy' be a part of a syndrome or complex condition?"", ""Does 'Malignancy' have any synonyms or alternative names?"", ""How is 'Malignancy' classified in medical terminologies or classification systems?"", ""What are the common treatments or interventions for 'Malignancy'?"", ""What are the expected outcomes or prognosis of 'Malignancy'?"", ""What are the potential causes or risk factors associated with 'Malignancy'?""]"
malignant adenoma,"[""What are the superclasses of malignant adenoma in an oncological hierarchy?"", ""What disease processes or abnormal tissues include malignant adenoma?"", ""Which cell types undergo malignant transformations in adenomas?"", ""What characteristics or cellular features define malignancy in adenomas?"", ""What oncogenic factors or genetic mutations are associated with malignant adenoma development?"", ""What therapeutic strategies target malignant adenomas?"", ""What data properties describe the aggressiveness or stage of a malignant adenoma?"", ""What relatedness or correlation exists between malignant adenomas and other cancers?""]"
malignant cells,"[""What superclass(es) do malignant cells belong to in an oncology ontology?"", ""Which disease processes or pathways are associated with malignant cells?"", ""What types of tissues or organs are commonly affected by malignant cells?"", ""What cellular features distinguish malignant cells from benign cells?"", ""What oncogenic factors or genetic mutations contribute to the formation of malignant cells?"", ""How do malignant cells differ from normal cells in terms of proliferation and growth?"", ""What are the consequences or effects of malignant cells on the body or specific organ systems?"", ""What categories or subtypes of cancer are characterized by malignant cells?"", ""What treatment modalities target specifically malignant cells rather than healthy cells?""]"
malignant histiocytosis,"[""What kind of disease is malignant histiocytosis?"", ""What are the superclasses of malignant histiocytosis in a disease ontology?"", ""What types of cells are involved in malignant histiocytosis?"", ""What are the biological processes or pathways that malignant histiocytosis affects?"", ""What are the structural features of malignant histiocytosis at the cellular or tissue level?"", ""Which specific symptoms or clinical manifestations are associated with malignant histiocytosis?"", ""What data properties, such as incidence or prevalence, describe malignant histiocytosis?"", ""What axioms or logical definitions capture the nature or behavior of malignant histiocytosis?"", ""How does malignant histiocytosis relate to other diseases or conditions in a pathological context?""]"
malignant lymphoma,"[""What is the superclass of malignant lymphoma in an oncological hierarchy?"", ""What cell types or lineages are involved in malignant lymphomas?"", ""Which pathophysiological processes lead to the development of malignant lymphomas?"", ""What are the clinical manifestations of malignant lymphomas?"", ""How does the stage or grade of malignant lymphoma affect prognosis or treatment?"", ""What cytogenetic or molecular abnormalities are associated with malignant lymphomas?"", ""What is the impact of malignant lymphoma on the immune system?"", ""What therapeutic modalities are effective against malignant lymphoma?""]"
malignant melanoma,"[""What malignancy grades are used to categorize malignant melanomas?"", ""Are there any precursor lesions for malignant melanoma?"", ""Is there a standardized staging system for malignant melanoma?"", ""What are the typical dermoscopic patterns observed in malignant melanoma?"", ""Can you list the genes commonly mutated in malignant melanoma?"", ""What are the main treatment modalities for malignant melanoma?"", ""How is the prognosis of malignant melanoma determined?"", ""Can you describe the epidemiological characteristics of malignant melanoma?""]"
manifest,"[""What is the superclass of Manifest in an ontological hierarchy related to medical records?"", ""What properties distinguish Manifest from other classes within medical records?"", ""How does Manifest relate to other classes such as Diagnosis or TreatmentPlan in the medical record ontology?"", ""What actions or state changes can be attributed to the Manifest class?"", ""In which part of the medical record does the Manifest information typically appear?"", ""How is the Manifest class connected to the Patient class in the medical record ontology?""]"
manifests,"[""What are the superclasses of manifests in an ontological hierarchy?"", ""Which disorders or conditions does the class manifests encompass?"", ""How does manifests relate to the broader category of phenotypes or symptoms?"", ""What underlying mechanisms lead to the manifestation of these symptoms in an individual?"", ""Are there any specific patterns or trends that emerge when analyzing manifests?"", ""What additional data properties or attributes are associated with manifests?"", ""Can manifests be categorized based on their severity or impact on health?"", ""How do researchers classify or group different manifestations within this class?""]"
mass,"[""What are the superclasses of Mass in physical quantity ontology?"", ""What units of measurement are commonly associated with Mass?"", ""What is the fundamental physical property related to Mass and energy?"", ""How does Mass contribute to the concepts of inertia and momentum?"", ""What is the relationship between Mass and density in an object?"", ""What axioms define the conservation of Mass in physical systems?""]"
mastectomy,"[""What are the superclasses of Mastectomy in a surgical procedure ontology?"", ""Which anatomical structures are involved in a Mastectomy?"", ""What is the purpose or goal of performing a Mastectomy?"", ""What are the effects or outcomes of a Mastectomy on the patient's health?"", ""How does a Mastectomy relate to other surgical procedures in the same domain?"", ""What classification schemes or terminologies include Mastectomy as a type of surgery?"", ""What axioms or criteria define the necessity or indication for performing a Mastectomy?""]"
